key,level,name,full_name,description,shade,parent
2226,1,Data Services,Data Services,"Data Services encompass a broad range of managed services and solutions designed to facilitate the storage, retrieval, management, and analysis of data across various platforms and environments.","rgb(47, 79, 79)",
2270,1,Services,Services,"","rgb(105, 105, 105)",
2271,1,System Interaction,System Interaction,"","rgb(112, 128, 144)",
2274,1,User Interaction,User Interaction,"User Interaction (UI) encompasses the methods and mechanisms through which users interact with computer systems, applications, or devices.","rgb(119, 136, 153)",
2259,2,Application Services,Services##Application Services,Services that are running along with application in production,"rgb(153, 26, 221)",2270
2218,2,Batch Services,System Interaction##Batch Services,"Batch Services refer to automated processing services that execute batches of tasks or jobs without manual intervention, typically scheduled or triggered based on specific conditions.","rgb(72, 61, 139)",2271
2224,2,Communication Services,System Interaction##Communication Services,"Communication Services encompass a broad range of digital services designed to facilitate the exchange of information and data between individuals, systems, or devices over various networks.","rgb(106, 90, 205)",2271
2228,2,Data File Services,Data Services##Data File Services,Data File Services are primarily focused on managing and handling data stored on file systems.,"rgb(211, 211, 211)",2226
2227,2,Database Services,Data Services##Database Services,Database Services refer to the managed offerings that provide users with access to database functionalities.,"rgb(5, 129, 134)",2226
2251,2,Logic Services,Services##Logic Services,"Logic Services, within the realm of software architecture and cloud computing, refer to platforms and tools that facilitate the implementation, execution, and orchestration of business logic across applications and services.","rgb(0, 0, 128)",2270
2257,2,Mobile Interaction,User Interaction##Mobile Interaction,"Mobile Interaction refers to the ways users engage with mobile devices, such as smartphones and tablets, through interfaces and applications designed specifically for mobile contexts.","rgb(132, 112, 255)",2274
2262,2,Output Services,Services##Output Services,Output Services in software architecture refer to the components or layers responsible for generating and managing the output of an application.,"rgb(100, 149, 237)",2270
2268,2,Screen Interaction,User Interaction##Screen Interaction,Screen Interaction refers to the ways users engage with graphical user interfaces (GUIs) on digital screens.,"rgb(0, 0, 205)",2274
2273,2,Transactional Services,System Interaction##Transactional Services,Transactional Services in the context of enterprise computing and software architecture refer to systems or platforms that manage and ensure the integrity and consistency of transactions across databases and distributed systems.,"rgb(123, 104, 238)",2271
2277,2,Web Interaction,User Interaction##Web Interaction,Web Interaction refers to the design and implementation of interactive elements and behaviors in web applications.,"rgb(65, 105, 225)",2274
2230,3,.NET Transaction,System Interaction##Transactional Services##.NET Transaction,"","rgb(13, 125, 97)",2273
3811,3,API Gateway,Services##Application Services##API Gateway,An API Gateway is primarily responsible for handling API requests and directing them to the appropriate backend services,"rgb(154, 36, 79)",2259
3064,3,API Management,Services##Application Services##API Management,"An API Management service provides tools and platforms to design, secure, monitor APIs","rgb(13, 125, 97)",2259
3056,3,Authentication Services,Services##Application Services##Authentication Services,"Authentication Services verify the identity of users or systems by validating credentials such as passwords, biometrics, or tokens to ensure secure access to resources and data.","rgb(13, 125, 97)",2259
2219,3,BI Services,Services##Output Services##BI Services,"Business Intelligence (BI) Services encompass a broad range of technologies, applications, strategies, and practices used to collect, integrate, analyze, and present an organization's raw data.","rgb(13, 125, 97)",2262
1951,3,Build Services,Services##Logic Services##Build Services,Build Services in the context of software development and DevOps refer to tools or platforms that automate the process of converting code into executable applications or software packages.,"rgb(13, 125, 97)",2251
2220,3,Business Logic,Services##Logic Services##Business Logic,"Business Logic refers to the custom rules or algorithms that handle the exchange, processing, and management of data in a software application.","rgb(13, 125, 97)",2251
2221,3,Business Logic Communication,Services##Logic Services##Business Logic Communication,"Business Logic Communication refers to the mechanisms and patterns used for exchanging data and commands between the business logic layer of an application and other parts of the system, such as the presentation (user interface) layer, data access layer, external services, or between different components within the business logic layer itself.","rgb(13, 125, 97)",2251
2222,3,Business Logic Coordination,Services##Logic Services##Business Logic Coordination,Business Logic Coordination involves orchestrating and managing the interactions between different pieces of business logic within an application or across distributed systems to achieve coherent business processes and workflows,"rgb(13, 125, 97)",2251
2223,3,Business Process Services,System Interaction##Communication Services##Business Process Services,Business Process Services (BPS) involve the outsourcing of specific operational tasks or processes to external service providers.,"rgb(13, 125, 97)",2224
3062,3,Container,Services##Application Services##Container,"A container, such as those created with Docker or Kubernetes, is a lightweight, portable, and self-sufficient software package that includes all the necessary components to run an application consistently across different computing environments.","rgb(13, 125, 97)",2259
2225,3,Data Access Services,Services##Logic Services##Data Access Services,"Data Access Services refer to the layer or components in a software architecture responsible for managing access to data stored in databases, file systems, or other storage mechanisms.","rgb(13, 125, 97)",2251
2229,3,DataSet Storage,Data Services##Data File Services##DataSet Storage,DataSet data storage formats used primarily on IBM mainframe systems.,"rgb(13, 125, 97)",2228
3061,3,Distributed Tracing,Services##Application Services##Distributed Tracing,"Distributed tracing, exemplified by tools like OpenZipkin, is a technique for tracking and visualizing requests as they propagate through various services in a distributed system, providing insights into performance bottlenecks and dependencies.","rgb(13, 125, 97)",2259
2231,3,Exposed API,System Interaction##Communication Services##Exposed API,All REST/SOAP/RPC exposed API,"rgb(13, 125, 97)",2224
2232,3,File Storage,Data Services##Data File Services##File Storage,Refers to dedicated file storage solutions.,"rgb(13, 125, 97)",2228
3715,3,Functional Microservice,Services##Logic Services##Functional Microservice,"A functional microservice is a microservice designed around a specific business function or capability, rather than just a technical function.",,2251
2233,3,Hierarchical DB Services,Data Services##Database Services##Hierarchical DB Services,"It refers to the management and manipulation of data stored in a hierarchical database model. In this model, data is organized into a tree-like structure, consisting of parent-child relationships, where each record (or node) has one parent, except for the root, and can have multiple children.","rgb(13, 125, 97)",2227
2248,3,In Memory Services,Data Services##Database Services##In Memory Services,It refers to technologies and solutions that store data in the main memory (RAM) of a computer rather than on traditional disk-based storage systems.,"rgb(13, 125, 97)",2227
2250,3,Java Transaction,System Interaction##Transactional Services##Java Transaction,"","rgb(13, 125, 97)",2273
3063,3,Load Balancer,Services##Application Services##Load Balancer,"A load balancer is a device or software application that efficiently distributes incoming network traffic across a group of servers, ensuring high availability and reliability by effectively managing the workload.","rgb(13, 125, 97)",2259
2126,3,Local Persistence,Data Services##Data File Services##Local Persistence,"Local Persistence (In Memory Store, Embedded DB,...) Layer","rgb(13, 125, 97)",2228
3066,3,Logging,Services##Application Services##Logging,"A logging service is a tool or platform that collects, stores, and manages logs generated by applications and systems, providing a centralized location for monitoring and troubleshooting issues.","rgb(13, 125, 97)",2259
2252,3,Mainframe Transaction,System Interaction##Transactional Services##Mainframe Transaction,"","rgb(13, 125, 97)",2273
3075,3,Message Broker,Services##Application Services##Message Broker,"A message broker is an intermediary software component that facilitates communication between distributed applications, allowing them to exchange messages efficiently and asynchronously, often using a messaging protocol such as MQTT or AMQP.","rgb(13, 125, 97)",2259
2253,3,Messaging Services,System Interaction##Communication Services##Messaging Services,"Messaging Services provide a platform for exchanging messages, including text, voice, video, and files, between users or systems in real-time or asynchronously.","rgb(13, 125, 97)",2224
2254,3,Mobile Business Logic,User Interaction##Mobile Interaction##Mobile Business Logic,"Mobile Business Logic refers to the set of rules, calculations, data processing, and workflows that are applied in mobile applications to manage and manipulate data, enforce business policies, and support the application's core functionalities.","rgb(13, 125, 97)",2257
